row_id,player,year,position,school,height,weight,forty,vertical,bench,shuttle,pick_number
357,James Boyd,2001,SS,Penn St.,71.0,207,4.59,32.5,,4.24,94.0
359,Drew Brees,2001,QB,Purdue,72.0,213,4.83,32.0,,4.21,32.0
360,Sean Brewer,2001,TE,San Jose St.,76.0,255,4.73,36.0,14.0,4.18,66.0
364,Correll Buckhalter,2001,RB,Nebraska,72.0,226,4.53,40.0,11.0,4.06,121.0
365,Derrick Burgess,2001,DE,Mississippi,74.0,264,4.92,40.0,24.0,,63.0
367,Jerametrius Butler,2001,CB,Kansas St.,70.0,173,4.57,36.0,11.0,4.4,145.0
369,John Capel,2001,WR,Florida,71.0,177,4.39,36.5,,,208.0
372,Robert Carswell,2001,FS,Clemson,72.0,214,4.59,34.0,21.0,4.18,244.0
373,Quincy Carter,2001,QB,Georgia,74.0,225,4.58,35.5,,4.12,53.0
374,Andre Carter,2001,DE,California,76.0,249,4.84,38.5,20.0,4.24,7.0
375,Quinton Caver,2001,ILB,Arkansas,76.0,227,4.67,37.5,23.0,4.25,55.0
377,Chris Chambers,2001,WR,Wisconsin,72.0,210,4.33,45.0,,4.0,52.0
380,Patrick Chukwurah,2001,OLB,Wyoming,74.0,238,4.77,40.0,24.0,4.21,157.0
382,Nate Clements,2001,CB,Ohio St.,71.0,209,4.38,,,,21.0
383,Tay Cody,2001,CB,Florida St.,69.0,181,4.55,,11.0,,67.0
385,Derek Combs,2001,RB,Ohio St.,72.0,193,4.42,35.0,8.0,4.07,228.0
386,Jameel Cook,2001,FB,Illinois,70.0,226,4.8,29.5,17.0,4.38,174.0
387,Jarrod Cooper,2001,SS,Kansas St.,72.0,222,4.45,41.5,,3.9,143.0
388,Chris Cooper,2001,DE,Nebraska-Omaha,77.0,272,4.95,35.5,24.0,4.21,184.0
391,Rick Crowell,2001,OLB,Colorado St.,75.0,242,5.03,31.5,19.0,4.35,188.0
393,Alge Crumpler,2001,TE,North Carolina,74.0,266,4.76,34.0,22.0,4.43,35.0
396,Leonard Davis,2001,OT,Texas,78.0,370,5.32,28.0,33.0,5.18,2.0
397,Ennis Davis,2001,DT,USC,76.0,302,5.1,27.5,23.0,4.87,221.0
398,Rick DeMulling,2001,OG,Idaho,76.0,307,5.24,31.5,32.0,4.6,220.0
399,Anthony Denman,2001,ILB,Notre Dame,73.0,239,4.76,,,,213.0
