,id,name,contract_years,total_value,gtd_start,gtd_total,year,position,height,weight,forty,vertical,bench,broad_jump,three_cone,shuttle,pick_number
195,130,Christian McCaffrey,4,17241304,17241304,17241304,2017,RB,71,202,4.48000000,37.50000000,10.0,121.0,6.57000000,4.22000000,8.0
196,262,Conor McDermott,4,2535018,135018,135018,2017,OT,80,307,5.18000000,28.50000000,,105.0,7.52000000,4.58000000,211.0
197,248,Isaiah McKenzie,4,2635844,235844,235844,2017,WR,67,173,4.42000000,36.00000000,11.0,123.0,6.64000000,4.15000000,172.0
198,148,Takkarist McKinley,4,10216530,7893367,7893367,2017,OLB,74,250,4.59000000,33.00000000,24.0,122.0,7.48000000,4.62000000,26.0
199,174,Raekwon McMillan,4,4697537,3164914,3164914,2017,ILB,74,240,4.61000000,33.00000000,23.0,121.0,7.15000000,4.39000000,54.0
200,245,Matt Milano,4,2661506,261506,261506,2017,OLB,72,223,4.67000000,35.00000000,24.0,126.0,,,163.0
201,197,Fabian Moreau,4,3339392,825392,825392,2017,CB,72,206,4.35000000,38.00000000,,136.0,6.94000000,4.12000000,81.0
202,182,Taylor Moton,4,4158152,2283117,2283117,2017,OT,77,319,5.18000000,30.50000000,23.0,109.0,7.73000000,4.58000000,64.0
203,223,Montae Nicholson,4,3018892,618892,618892,2017,SS,74,212,4.42000000,35.00000000,,125.0,,,123.0
204,151,David Njoku,4,9525095,9525095,9525095,2017,TE,76,246,4.64000000,37.50000000,21.0,133.0,6.97000000,4.34000000,29.0
205,183,Larry Ogunjobi,4,3907264,981564,981564,2017,DE,75,305,4.97000000,32.00000000,26.0,116.0,7.55000000,4.75000000,65.0
206,147,Jabrill Peppers,4,10341989,8001717,8001717,2017,SS,71,213,4.46000000,35.50000000,19.0,128.0,,,25.0
207,177,Ethan Pocic,4,4409031,2011978,2011978,2017,C,78,310,5.15000000,27.00000000,26.0,107.0,7.89000000,4.81000000,58.0
